春雪（唐·东方虬）　　五言绝句　押灰韵	春雪满空来，触处似花开。不知园里树，若个是真梅。
昭君怨（唐·东方虬）　　五言绝句　押鱼韵	万里胡风急，三秋□汉初。唯望南去雁，不肯为传书。
相和歌辞 王昭君三首（唐·东方虬）　　押真韵	汉道初①全盛，朝廷足武臣。何须②薄命妾，辛苦远③和亲。
