荅张生（唐·崔莺莺）　　五言绝句　押灰韵	待月西厢下，迎风户半开。拂墙花影动，疑是玉人来。
告绝诗（唐·崔莺莺）　　五言绝句　押真韵	弃置今何道，当时且自亲。还将旧来意，怜取眼前人。
寄诗（唐·崔莺莺）　　七言绝句　押阳韵	自从销瘦减容光，万转千回懒下床。不为傍人羞不起，为郎憔悴却羞郎。
