题李处士山居（唐·杨嗣复）　　七言绝句　押文韵	卧龙决起为时君，寂寞匡庐惟白云。今日仲容修故业，草堂焉敢更移文。
谢寄新茶（唐·杨嗣复）　　七言绝句　押东韵	石上生芽二月中，蒙山顾渚莫争雄。封题寄与杨司马，应为前衔是相公。
丁巳岁八月祭武侯祠堂因题临淮公旧碑（唐·杨嗣复）　　五言排律　押真韵	斋庄修祀事，旌旆出郊闉。薙草轩墀狭，涂墙赭垩新。谋猷期（一作开）作圣，风俗奉为神。酹酒成坳泽，持兵列偶人。非才膺宠任，异代揖芳尘。况是平津客，碑前泪满巾。
仪凤（唐·杨嗣复）　　五言排律　押真韵	八方该帝泽，威凤忽来宾。向日朱光动，迎风翠羽新。低昂多异趣，饮啄迥无邻。郊薮今翔集，河图意等伦。闻韶知鼓舞，偶圣愿逡巡。比屋初同俗，垂恩击壤人。
赠毛仙翁（唐·杨嗣复）	天上玉郎骑白鹤，肘后金壶盛妙药。暂游下界傲五侯，重看当时旧城郭。羽衣茸茸轻似雪，云上双童持绛节。王母亲缝紫锦囊，令向怀中藏秘诀。令威子晋皆俦侣，东岳同寻太真女。搜奇缀韵和阳春，文章不是人间语。药成自固黄金骨，天地齐兮身不没。日月宫中便是家，下视昆崙何突兀。童姿玉貌谁方比，玄发绿髯光弥弥。满朝将相门弟子，随师尽愿抛尘滓。九转琅玕必有馀，愿乞刀圭救生死。
