春闺怨（唐·程长文）　　七言绝句　押霰韵	绮陌香飘柳如线，时光瞬息如①流电。良人何处事功名，十载相思不相见。
狱中书情上使君（唐·程长文）	妾家本住鄱阳曲，一片贞（一作坚）心比孤竹。当年二八盛容仪（一作辉），红笺草隶恰如飞。尽日闲窗刺绣坐，有时极浦采莲归。谁道居贫守都邑，幽闺（一作居）寂寞无人识。海燕朝归衾枕（一作枕席）寒，山花夜落阶墀湿。强暴之男何所为，手持白刃向帘帏。一命任从刀下死，千金岂（一作不）受暗中欺。我心匪石情难转，志夺秋霜意不移。血溅罗衣终不恨，疮黏锦袖亦何辞。县僚曾未知情绪，即便教人絷囹圄。朱唇滴沥独衔冤，玉箸阑干叹非所。十月寒更堪思（一作更愁）人，一闻击柝一伤神。高髻不梳云已散，蛾眉罢（一作淡）埽月仍新。三尺严章难（一作焉）可越，百年心事向谁说。但看洗雪出圜扉，始信白圭无玷缺。
铜雀台怨（唐·程长文）	君王去后行人绝，箫筝①不响歌喉咽。雄剑无威光彩沈，宝琴零落金星灭。玉阶寂寞②坠秋露，月照当时歌舞处。当时歌舞人不回，化为今日西陵灰。
