捣衣（唐·沈宇）　　五言绝句　押青韵	日暮远天青，霜风入后庭。洞房寒未掩，砧杵夜泠泠。
武阳送别（唐·沈宇）　　七言绝句　押微韵	菊黄芦白雁初飞，羌笛胡笳泪满衣。送君肠断秋江水，一去东流何日归。
代闺人（唐·沈宇）　　七言绝句　押侵韵	杨柳青青鸟乱吟，春风①香霭洞房深。百花帘下朝窥镜，明月窗前夜理琴。
