咏和亲（唐·苏郁）　　七言绝句　押歌韵	关月夜悬青冢镜，寒云秋薄汉宫罗。君王莫信和亲策，生得胡雏虏①更多。
鹦鹉词（唐·苏郁）　　七言绝句　押语韵	莫把金笼闭鹦鹉，个个分明解人语。忽然更向君前言，三十六宫愁几许。
步虚词（唐·苏郁）　　七言绝句　押冬韵	十二楼藏玉堞中，凤凰双宿碧芙蓉①。流霞浅酌谁同②醉，今夜笙歌③第几重。
句（唐·苏郁）　　押元韵	吟倚雨残树，月收山下村（见张为《主客图》）。
