宫中题（唐·文宗皇帝）　　五言绝句　押支韵	辇路生春①草，上林花发时②。凭高何限意，无复侍臣知。
上巳日赐裴度（唐·文宗皇帝）　　五言绝句　押皓韵	注想待元老，识君恨不早。我家柱石衰，忧来学丘祷。
上元日二首（唐·文宗皇帝）　　七言绝句　押先韵	上元高会集群仙，心斋何事欲祈年。丹诚傥彻玉帝座，且共吾人庆大田。
暮春喜雨诗（唐·文宗皇帝）　　押支韵	风云喜际会，雷雨遂流滋。荐币虚陈礼，动天实精思。渐侵九夏节，复在三春时。霢霂垂朱阙，飘飖入绿墀。郊坰既沾足，黍稷有丰期。百辟同康乐，万方伫雍熙。
题程修己竹障（唐·文宗皇帝）	良工运精思，巧极似有神。临窗忽睹繁阴合，再盼真假殊未分①。
夏日联句（唐·文宗皇帝）　　押阳韵	人皆苦炎热，我爱夏日长（帝）。熏风自南来，殿阁生微凉（柳公权）。
