采桑（唐·郎大家宋氏）　　押阮韵	春来南雁归，日去西蚕远。妾思粉何极，客①游殊未返。
朝云引（唐·郎大家宋氏）	巴西巫峡指①巴东，朝云触石上朝空。巫山巫峡高何已，行雨行云一时起。一时起，三春暮。若言来，且就阳台路。
宛转歌（一作拟晋女刘妙容宛转歌）二首（唐·郎大家宋氏）	风已清，月朗琴复鸣。掩抑非千态，殷勤是一声。歌宛转，宛转和且长。愿为双鸿①鹄，比翼共翱翔。
杂曲歌辞 长相思（唐·郎大家宋氏）　　押屑韵	长相思，久离别。关山阻，风烟绝。台上镜文销，袖中书字灭。不见君形影，何曾有欢悦。
