拾遗二首新添 其二（唐·寒山）　　五言绝句　押霰韵	家有寒山诗，胜汝看经卷。书放屏风上，时时看一遍①。
诗三百三首（唐·寒山）　　押敬韵	凡读我诗者，心中须护净。悭贪继日廉，谄曲登时正。驱遣除①恶业，归依受真性。今日得佛身，急急如律令。
三字诗六首（唐·寒山）　　押号韵	寒山道，无人到。若能行，称十号。有蝉鸣，无鸦噪。黄叶落，白云扫。石磊磊，山隩隩。我独居，名善导。子细看，何相好。
拾遗二首新添 其一（唐·寒山）	我见世间人，个个争意气。一朝忽然死，只得一片地。阔四尺，长丈二。汝若会出来争意气，我与汝立碑记。
诗（唐·寒山）　　押皓韵	梵志死去来，魂识见阎老。读尽百王书，未免受捶拷。一称南无佛，皆以成佛道。
