湖州贡焙（一本此下有看发二字）新茶（唐·张文规）　　七言绝句　押灰韵	凤辇寻春半醉回，仙娥进水御帘开。牡丹花笑金钿动，传奏吴兴紫笋来。
吴兴三绝（唐·张文规）　　押庚韵	蘋洲须觉池沼俗，苧布直胜罗纨轻。清风楼下草初出，明月峡中茶始生。吴兴三绝不可舍，劝子强为吴会行。
句（唐·张文规）　　押咸韵	谁云隼旟吏，长对虎头岩（见《吴兴掌故》）。
