赠人（唐·滕传胤）　　五言绝句　押鱼韵	平生才不足，立身信有馀。自叹无大故，君子莫相疏。
赠僧（唐·滕传胤）　　七言绝句　押麻韵	卓立不求名出家，长怀片志在青霞。今日英雄气冲盖，谁能久坐宝莲花。
郑锋宅神诗（唐·滕传胤）　　七言绝句　押寒韵	浦口潮来初淼漫，莲舟摇飏采花难。春心不惬空归去，会待潮回更折看。
