春夜裁缝（唐·蒋维翰）　　五言绝句　押蒸韵	珠箔因风起，飞蛾入最能。不教人夜作，方便杀明灯。
春女怨（唐·蒋维翰）　　七言绝句　押灰韵	白玉堂前一树梅，今朝忽见数花①开。儿家门户寻常②闭，春色因何入得③来。
怨歌（唐·蒋维翰）　　七言绝句　押麻韵	百尺珠楼临狭斜，新妆能唱美人车。皆言贱妾红颜好，要自狂夫不忆家。
杂歌谣辞 古（一作薛维翰诗）歌二首 其一（唐·蒋维翰）　　押药韵	美人怨何深，含情倚金阁。不嚬①复不语，红③泪双双②落。
