望江南（唐·敦煌曲子）	莫攀我，攀我大心偏。我是曲江临池柳，者人折折那人攀，恩爱一时间。
鹊踏枝（唐·敦煌曲子）	叵耐灵鹊多谩语。送喜何曾有凭据？几度飞来活捉取。锁上金笼休共语。比拟好心来送喜。谁知锁我在金笼里。欲他征夫早归来。腾身却放我向青云里。
浣溪沙（唐·敦煌曲子）	五两竿头风欲平。张帆举棹觉船轻。柔橹不施停却棹，是船行。满眼风光多闪灼，看山恰似走来迎。子细看山山不动，是船行。
