后土夫人（唐·蜀宫群仙）　　七言绝句　押先韵	偶引群仙到世间，熏风殿里醉华筵。等闲贪赏不归去，愁杀韦郎一觉眠。
王母（唐·蜀宫群仙）　　七言绝句　押尤韵	沧海成尘几万秋，碧桃花发长春愁。不来便是数千载，周穆汉皇何处游。
麻姑（唐·蜀宫群仙）　　七言绝句　押先韵	世间何事不潸然，得失①人情命不延。适向蔡家厅上饮，回头已见一千年。
上元夫人（唐·蜀宫群仙）　　七言绝句　押东韵	思量往事一愁容，阿母曾邀到汉宫。城阙不存人不见，茂陵荒草恨无穷。
弄玉（唐·蜀宫群仙）　　七言绝句　押支韵	采凤飞来到禁闱，便随王母驻瑶池。如今记得秦楼上，偷见萧郎恼妾时。
太真（唐·蜀宫群仙）　　七言绝句　押支韵	春梦悠扬生下界，一堪成笑一堪悲。马嵬不是无情地，自遇蓬莱睡觉时。
