吟叙（唐·周昙）　　七言绝句　押侵韵	历代兴亡亿万心，圣人观古贵知今。古今成败无多事，月殿花台幸一吟。
闲吟（唐·周昙）　　七言绝句　押侵韵	考摭妍媸用破心，剪裁千古献当今。闲吟不是闲吟事，事有闲思闲要吟。
唐虞门 唐尧（唐·周昙）　　七言绝句　押庚韵	祆氛不起瑞烟轻，端拱垂衣日月明。传事四方无外役，茅茨深处土阶平。
唐虞门 虞舜（唐·周昙）　　七言绝句　押冬韵	进善惩奸立帝功，功成揖让益温恭。满朝卿士多元凯，为黜兜苗与四凶。
唐虞门 舜妃（唐·周昙）　　七言绝句　押真韵	苍梧一望隔重云，帝子悲寻不记春。何事泪痕偏在竹，贞姿应念节高人。
唐虞门 再吟（唐·周昙）　　七言绝句　押元韵	潇湘何代泣幽魂，骨化重泉志尚存。若道地中休下泪，不应新竹有啼痕。
三代门 夏禹（唐·周昙）　　七言绝句　押鱼韵	尧违天孽赖询谟，顿免洪波浸碧虚。海内生灵微伯禹，尽应随浪化为鱼。
三代门 再吟（唐·周昙）　　七言绝句　押灰韵	万古龙门一旦开，无成甘死作黄能。司空定有匡尧术，九载之前何处来。
三代门 太康（唐·周昙）　　七言绝句　押歌韵	师保何人为琢磨，安知父祖苦辛多。酒酣禽色方为乐，讵肯闲听五子歌。
三代门 后稷（唐·周昙）　　七言绝句　押东韵	人惟邦本本由农，旷古谁高后稷功。百谷且繁三曜在，牲牢郊祀信无穷。
三代门 文王（唐·周昙）　　七言绝句　押尤韵	昭然明德报天休，礿祭惟馨胜杀牛。二老五侯何所诈，不归商受尽归周。
三代门 武王（唐·周昙）　　七言绝句　押支韵	文王寝膳武王随，内竖言安色始怡。七载岂堪囚羑里，一夫为报亦何疑。
三代门 太公（唐·周昙）　　七言绝句　押东韵	昌猎关西纣猎东，纣怜崇虎弃非熊。危邦自谓多麟凤，肯把王纲取钓翁。
三代门 再吟（唐·周昙）　　七言绝句　押真韵	东邻不事事西邻，御物卑和物自亲。天下言知天下者，兆人无主属贤人。
三代门 又吟（唐·周昙）　　七言绝句　押支韵	千妖万态逞妍姿，破国亡家更是谁。匡政必能除苟媚，去邪当断勿狐疑。
三代门 子牙妻（唐·周昙）　　七言绝句　押尤韵	陵柏无心竹变秋，不能同戚拟同休。岁寒焉在空垂涕，覆水如何欲再收。
三代门 周公（唐·周昙）　　七言绝句　押支韵	文武传芳百代基，几多贤哲守成规。仍闻吐握延儒素，犹恐民疵未尽知。
三代门 夷齐（唐·周昙）　　七言绝句　押灰韵	让国由衷义亦乖，不知天命匹夫才。将除暴虐诚能阻，何异崎岖助纣来。
三代门 管蔡（唐·周昙）　　七言绝句　押虞韵	伊商胡越尚同图，管蔡如何有异谟。不念祖宗危社稷，强于仁圣遣行诛。
三代门 成王（唐·周昙）　　七言绝句　押支韵	成王有过伯禽笞，圣惠能新日自奇。王道既成何所感，越裳呈瑞凤来仪。
