燕子楼三首（唐·关盼盼）　　七言绝句　押阳韵	楼上残灯伴晓霜，独眠人起合欢床。相思一夜情①多少，地角天涯不②是长。
和白公诗（唐·关盼盼）　　七言绝句　押支韵	自守空楼敛恨眉，形同春后牡丹枝。舍人不会人深意，讶道泉台不去随。
句（唐·关盼盼）　　押豪韵	儿童不识冲天物，漫把青泥污雪毫（《临殁口吟》）。
