和吕御史咏院中丛竹（唐·张纮）　　五言绝句　押歌韵	闻君庭竹咏，幽意岁寒多。叹息为冠小，良工将奈何。
闺怨（唐·张纮）　　七言绝句　押微韵	去年离别雁初归，今夜裁缝萤已飞。征客去来音信断，不知何处寄寒衣。
杂曲歌辞 行路难（唐·张纮）	君不见温家玉镜台，提携抱握九重来。君不见相如绿绮琴，一抚一拍凤凰音。人生意气须及早，莫负当年行乐心。荆王奏曲楚妃叹，曲尽欢终夜将半。朱楼银阁正平生，碧草青苔坐芜漫。当春对酒不须疑，视目相看能几时。春风吹尽燕初至，此时自谓称君意。秋露萎草鸿始归，此时衰暮与君违。人生翻覆何常足，谁保容颜无是非。
