一叶落（唐·李存勖）	一叶落，搴朱箔，此时景物正萧索。画楼月影寒，西风吹罗幕。吹罗幕，往事思量著。
阳台梦（唐·李存勖）	薄罗衫子金泥缝，困纤腰怯铢衣重。笑迎移步小兰丛，亸金翘玉凤。娇多情脉脉，羞把同心撚弄。楚天云雨却相和，又入阳台梦。
歌头（唐·李存勖）	赏芳春，暖风飘箔。莺啼绿树，轻烟笼晚阁。杏桃红，开繁萼。灵和殿，禁柳千行斜，金丝络。夏云多，奇峰如削，纨扇动微凉，轻绡薄。梅雨霁，火云烁。临水槛，永日逃繁暑，泛觥酌。露华浓，冷高梧。彫万叶，一霎晚风。蝉声新雨歇，惜惜此光阴，如流水，东篱菊残时，叹萧索。繁阴积，岁时暮。景难留，不觉朱颜失却。好容光，且且须呼宾友。西园长宵，宴云谣。歌皓齿，且行乐。
