诣李侍郎（唐·王鲁复）　　五言绝句　押寒韵	文字元无底，功夫转到难。苦心三百首，暂请侍郎看。
吊灵均（唐·王鲁复）　　五言绝句　押侵韵	万古汨罗深，骚人道不沈。明明唐日月，应见楚臣心。
吊韩侍郎（唐·王鲁复）　　五言绝句　押东韵	星落少微宫，高人入古风。几年才子泪，并写五言中。
水楼（唐·王鲁复）　　七言绝句　押尤韵	山衔落日溪光动，岸转回风槛影浮。座内数声来远鹤，烟中一派辨孤舟。
故白岩禅师院（唐·王鲁复）　　七言绝句　押灰韵	能师还世名还在，空闭禅堂满院苔。花树不随人寂寞，数枝犹自出墙来。
句（唐·王鲁复）	清泉绕屋澄心远，曙月衔山出定迟（《赠僧惟绩》）。
