题孙棨诗后（唐·王福娘）　　七言绝句	苦把文章邀劝人，吟看好个语言新。虽然不及相如赋，也直黄金一二斤。
问棨（一作题红笺上）诗（唐·王福娘）　　七言绝句　押虞韵	日日悲伤未有图，懒将心事话凡夫。非同覆水应收得，只问仙郎有意无①。
谢棨（一作掷红巾）诗（唐·王福娘）　　七言绝句　押真韵	久赋恩情欲托身，已将心事再三陈。泥莲既没移栽分，今日分离莫恨人。
