荅赵子（唐·步非烟）　　七言绝句　押支韵	绿惨双蛾不自持，只缘幽恨在新诗。郎心应似琴心怨，脉脉春情更泥谁。
又荅赵象独坐（唐·步非烟）　　七言绝句　押东韵	无力严妆倚绣栊，暗题蝉锦思难穷。近来赢得伤春病，柳弱花敧怯晓风。
寄怀（唐·步非烟）　　七言绝句　押微韵	画檐①春燕须同宿，兰浦双鸳肯独飞。长恨桃源诸女伴，等闲花里送郎归。
荅赵象（唐·步非烟）　　七言绝句　押文韵	相思只恨难②相见①，相见还愁却别君。愿得化为松上鹤，一双飞去入行云③。
