赠封陟（唐·上元夫人）　　七言绝句	谪居蓬岛别瑶池，春媚烟花有所思。为爱君心能洁白，愿操箕帚奉屏帏。
再赠（唐·上元夫人）　　七言绝句　押先韵	弄玉有夫皆得道，刘纲①兼室尽登仙。君能仔细窥朝露，须逐云车拜洞天。
留别（唐·上元夫人）　　七言绝句　押真韵	萧郎不顾凤楼人，云涩回车泪脸新。愁想蓬瀛归去路，难窥旧苑碧桃春。
