题西施石诗（唐·王轩）　　五言绝句　押真韵	岭上千峰秀，江边细草春。今逢浣纱石，不见浣纱人。
诗（唐·王轩）　　七言绝句　押真韵	当时计拙笑将军，何事安邦赖美人。一自仙葩入吴国，从兹越国更无春。
西施（唐·王轩）　　七言绝句　押删韵	云霞出没群峰外，鸥鸟浮沈一水间。一自越兵齐振地，梦魂不到虎丘山。
西施（唐·王轩）　　押药韵	佳人去千载，溪山久寂寞。野水浮白烟，岩花自开落。猿鸟旧清音，风月闲楼阁。无语立斜阳，幽情入天幕。
