题张僧繇醉僧图（唐·怀素）　　七言绝句　押虞韵	人人送酒不曾沽，终日松间挂一壶。草圣欲成狂便发，真堪画入醉僧图。
寄衡岳僧（唐·怀素）　　七言绝句　押冬韵	祝融高座对寒峰，云水昭丘几万重。五月衲衣犹近火，起来白鹤冷青松。
句（唐·怀素）　　押支韵	人人来问此中妙，怀素自云初不知。
