闻夫杜羔登第（唐·刘氏（杜羔妻））　　七言绝句　押尤韵	长安此去无多地，郁郁葱葱佳气浮。良人得意正年少，今夜醉眠何处楼。
杂言寄杜羔（唐·刘氏（杜羔妻））	君从淮海游，再过兰杜（一作杜兰）秋。归来未（一作不）须臾，又欲向梁州。梁州秦岭西，栈道与云齐。羌蛮（一作虏）万馀落，矛戟自高低。已念寡俦侣，复虑劳攀跻。丈夫重志气，儿女空悲啼。临邛滞游地，肯顾浊水泥。人生赋命有厚薄，君但（一作子）遨游我寂寞。
杂言（唐·刘氏（杜羔妻））	上林园中青青桂，折得一枝好夫婿。杏花如雪柳垂丝，春风荡飏不同枝。
