宿严陵钓台（唐·神颖）　　七言绝句　押尤韵	寒谷荒台七里洲，贤人永逐水东流。独猿叫断青天月，千古冥冥潭树秋。
和王季文题九华山（唐·神颖）　　押萧韵	众岳雄分野，九华镇南朝。彩笔凝空远，崔嵬寄青霄。龙潭古仙府，灵药今不凋。瑩为沧海镜，烟霞作荒标。造化心数奇，性状精气饶。玉树郁玲珑，天籁韵萧寥。寂寂寻乳窦，兢兢行石桥。通泉漱云母，藉草萦香苕。我住（一作在）幽且深，君赏昏复朝。稀逢发清唱，片片霜凌飙。
句（唐·神颖）　　押东韵	手边云起何时雨，笔下波生不待风（《山水屏》）。
