同夫游秦（唐·王韫秀）　　五言绝句　押真韵	路扫饥寒迹，天哀志气人。休零离别泪，携手入西秦。
夫入相寄姨妹（唐·王韫秀）　　七言绝句　押支韵	相国已随麟阁贵，家风第一右丞诗。笄年解笑鸣机妇，耻见苏秦富贵时。
喻夫阻客（唐·王韫秀）　　七言绝句　押阳韵	楚竹燕歌动画梁，春兰①重换舞衣裳。公孙开阁③招嘉②客，知道浮荣④不久长。
