与郑辕薛晏游枋口同赋三韵诗 石笋高（题拟）（唐·崔全素）	石笋生孤标，屹立青冥直。根横晓浪痕，箨卷春云色。棱棱长钧锋，应使山魅惕。
与郑辕薛晏游枋口同赋三韵诗 蒙泉（题拟）（唐·崔全素）　　押铣韵	溪转闻鸣泉，林疏渲苍藓。䔩洁来潺湲，凝光散清浅。未知适所从，空山漫流衍。
与郑辕薛晏游枋口同赋三韵诗 薜荔壁（题拟）（唐·崔全素）　　押寝韵	芳姿抱青峦，根蔓殊众品。水净隐帘珠，云开露屏锦。沥沥岩风来，幽香泄清凛。
