与郑辕崔全素游枋口同赋三韵诗（题拟） 石笋高（唐·薛晏）	峭笋倚溪壖，雄标屹霞境。云披看卷箨，波静见垂影。顿翼已栖林，残阳方在顶。
与郑辕崔全素游枋口同赋三韵诗（题拟） 蒙泉（唐·薛晏）	啧苏出深窦，欣然傍欹壁。清漱疏林澄，光净寒石白。一劳意渴甚，挽玩此水碧。
与郑辕崔全素游枋口同赋三韵诗（题拟） 薜荔壁（唐·薛晏）	谁种薜荔花？盘根上幽石。玲珑珠缀晓，香霭岑岚夕。却误贪寝人，遗衣挂苔壁。
