红蔷薇（唐·牛峤）　　七言绝句　押阳韵	晓啼珠露浑无力，绣簇罗襦不著行。若缀寿阳公主额，六宫争肯学梅妆。
忆江南（唐·牛峤）	衔泥燕，飞到画堂前。占得杏梁安稳处，体轻惟有主人怜，堪羡好因缘。
西溪子（唐·牛峤）	捍拨双盘金凤，蝉鬓玉钗摇动。画堂前，人不语，弦解语。弹到昭君怨处，翠蛾愁，不抬头。
江城子（唐·牛峤）	鵁鶄飞起郡城东，碧江空，半滩风。越王宫殿，蘋叶藕花中。帘卷水楼鱼浪起，千片雪，雨濛濛。
定西番（唐·牛峤）　　押寒韵	紫塞月明千里，金甲冷，戍楼寒，梦长安。乡思望中天阔，漏残星亦残。画角数声呜咽，雪漫漫。
望江怨（唐·牛峤）	东风急，惜别花时手频执。罗帏愁独入，马嘶残雨春芜湿。倚门立，寄语薄情郎，粉香和泪泣。
女冠子（唐·牛峤）	绿云高髻，点翠匀红时世。月如眉，浅笑含双靥，低声唱小词。眼看惟恐化，魂荡欲相随。玉趾回娇步，约佳期。
酒泉子（唐·牛峤）	记得去年，烟暖杏园花正发，雪飘香。江草绿，柳丝长。钿车纤手卷帘望，眉学春山样。凤钗低袅翠鬟上，落梅妆。
菩萨蛮（唐·牛峤）	舞裙香暖金泥凤，画梁语燕惊残梦。门外柳花飞，玉郎犹未归。愁匀红粉泪，眉剪春山翠。何处是辽阳，锦屏春昼长。
更漏子（唐·牛峤）	星渐稀，漏频转，何处轮台声怨？香阁掩，杏花红，月明杨柳风。挑锦字，记情事，惟愿两心相似。收泪语，背灯眠，玉钗横枕边。
感恩多（唐·牛峤）	两条红粉泪，多少香闺意。彊攀桃李枝，敛愁眉。陌上莺啼蝶舞，柳花飞。柳花飞，愿得郎心，忆家还早归。
应天长（唐·牛峤）	玉楼春望晴烟灭，舞衫斜卷金条脱。黄鹂娇转声初歇，杏花飘尽龙山雪。凤钗低赴节，筵上王孙愁绝。鸳鸯对衔罗结，两情深夜月。
木兰花（唐·牛峤）	春入横塘摇浅浪，花落小园空惆怅。此情谁信为狂夫，恨翠愁红流枕上。小玉窗前嗔燕语，红泪滴穿金线缕。雁归不见报郎归，织成锦字封过与。
杂曲歌辞 杨柳枝（唐·牛峤）　　押庚韵	解冻风来末上青，解垂罗袖拜卿卿。无端袅娜临官路，舞送行人过一生。
