阖闾城怀古（唐·刘瑶）　　七言绝句　押先韵	五湖春水接遥①天，国破君亡不记②年。唯有妖娥曾舞处，古台寂寞起愁③烟。
古意曲（唐·刘瑶）	梧桐阶下月团团，洞房如水秋夜阑。吴刀剪破机头锦，茱萸花坠相思枕。绿窗寂寞背灯时，暗数寒更不成寝。
杂曲歌辞 暗别离（唐·刘瑶）	槐花结子桐叶焦，单飞越鸟啼青霄。翠轩辗云轻遥遥，燕脂泪迸红线条。瑶草歇芳心耿耿，玉佩无声画屏冷。朱弦暗断不见人，风动花枝月中影。青鸾脉脉西飞去，海阔天高不知处。
