应制贺边军支春衣（唐·柳公权）　　五言绝句　押微韵	去岁虽无战，今年未得归。皇恩何以报，春日得春衣。
应制为宫嫔咏（唐·柳公权）　　七言绝句　押元韵	不分前时忤主恩，已甘寂寞守长门。今朝却得君王顾，重入椒房拭泪痕。
题朱审寺壁山水画（唐·柳公权）　　七言绝句　押覃韵	朱审偏能视夕岚，洞边深墨写秋潭。与君一顾西墙画，从此看山不向南。
