灞桥待李将军（唐·长孙无忌）　　五言绝句　押文韵	飒飒风叶下，遥遥烟景曛。霸陵无醉尉，谁滞李将军。
与欧阳询互嘲（唐·长孙无忌）　　押尤韵	耸膊成山字，埋肩不①出头。谁家麟角上，画此一猕猴②。
新曲二首（唐·长孙无忌）　　押庚韵	阿侬①家住朝歌下，早传名。结伴来游淇水上，旧长情。玉佩金钿随步远②，云罗雾縠逐风轻。转目机心悬自许，何须更待听琴声。
