幼作（唐·郑愚）　　五言绝句　押尤韵	台山初罢雾，岐海正分流。渔浦飏来笛，鸿逵翼去舟。
醉题广州使院（唐·郑愚）　　七言绝句　押阳韵	数年百姓受饥荒，太守贪残似虎狼。今日海隅鱼米贱，大须惭愧石榴黄。
茶诗（唐·郑愚）　　押庚韵	嫩芽香且灵，吾谓草中英。夜臼和烟捣，寒炉对雪烹。惟忧碧粉散，尝见绿花生。
拟权龙褒体赠鄠县李令及寄朝右（唐·郑愚）　　押送韵	鄠县李长官，横琴膝上弄。不闻有政声，但见手子动。
