太白山玄士画地吟（唐·眉娘）　　七言绝句　押先韵	学得丹青数万年，人间几度变桑田。桑田虽变丹青在，谁向丹青合得仙。
和卓英英锦城春望（唐·眉娘）　　七言绝句　押真韵	蚕市初开处处春，九衢明艳起香尘。世间总有浮华事，争及仙山出世人。
和卓英英理笙（唐·眉娘）　　七言绝句　押庚韵	但于闺阁熟吹笙，太白真仙自有情。他日丹霄骖白凤，何愁子晋不闻声。
