赠夫二首 其一（唐·韦璜）　　五言绝句　押麻韵	不得长相守，青春夭蕣华。旧游今永已，泉路却为家。
赠夫二首 其二（唐·韦璜）　　七言绝句　押侵韵	早知离别切人心，悔作从来恩爱深。黄泉冥寞虽长逝，白日屏帷还重寻。
赠嫂（唐·韦璜）　　七言绝句　押支韵	赤心用尽为相知，虑后防前秖定疑。案牍可申生节目①，桃符虽圣欲何为。
赠姊（唐·韦璜）　　押真韵	修短各有分，浮华亦非真。断肠泉壤下，幽忧难具陈。凄凄白杨风，日暮堪愁人。
