咏静乐县主（唐·张元一）　　五言绝句　押歌韵	马带桃花锦，裙衔绿草罗。定知帏帽底，仪容似大哥。
叙可笑事（唐·张元一）	朱前疑著绿，逯仁杰著朱。阎知微骑马，马吉甫骑驴。将名作姓李千里，将姓作名吴栖梧。左台胡御史，右台御史胡。
嘲武懿宗（唐·张元一）　　押霰韵	长弓短度箭，蜀马临阶骗。去贼七百里，隈墙独自战。忽然逢著贼，骑猪向南𧾩。
又嘲武懿宗（唐·张元一）　　押董韵	裹头极草草，掠鬓不菶菶。未见桃花面皮，漫作杏子眼孔。
