题壁（唐·杨凝式）　　五言绝句　押先韵	院似禅心静，花如觉性圆。自然知了义，争肯学神仙。
雪晴（唐·杨凝式）　　五言绝句　押庚韵	春来冰未泮，冬至雪初晴。为报方袍客，丰年瑞已成。
赠张全义（唐·杨凝式）　　七言绝句　押灰韵	洛阳风景实堪哀，昔日曾为瓦子堆。不是我公重葺理，至今犹是一堆灰。
题怀素酒狂贴后（唐·杨凝式）　　七言绝句　押微韵	十年挥素学临池，始识王公学卫非。草圣未须因酒发，笔端应解化龙飞。
句（唐·杨凝式）	押引蝗虫到洛京，合消郡守远相迎①。到此今经三纪春②。
