初到沧州呈州官（唐·权龙褒）　　五言绝句	遥看沧海城，杨柳郁青青。中央一群汉，聚坐打杯觥①。
喜雨（唐·权龙褒）　　五言绝句　押文韵	暗去也没雨，明来也没云。日头赫赤出，地上绿氤氲。
岭南归后献诗（唐·权龙褒）	龙褒有何罪，天恩放岭南。敕知无罪过，追来与将军①。
秋日述怀（唐·权龙褒）　　押阳韵	檐前飞七百，雪白后园彊。饱食房里侧，家粪集野螂①。
皇太子夏日赐宴诗（唐·权龙褒）　　押寒韵	严霜白浩浩，明月赤团团①。
