咏萤（唐·苏晋）　　五言绝句　押微韵	的的黄金色，□□白玉辉。既能明自照，何用暗中飞。
奉和圣制送张说巡边（唐·苏晋）　　五言排律　押先韵	方汉比周年，兴王合（一作今）在宣。亟闻降虏拜，复睹出师（一作军）篇。祈父万邦式，英猷三略传。算车申夏政，茇舍启戎田。严问盟（一作盈）胡苑，军容济洛川。皇情怅关旆，诏饯列郊筵。路接禁园草，池分御井莲。离声轸去角，居念断归蝉。三捷岂云尔，七擒良信然。具僚诚寄望，奏凯秋风前。
过贾六（唐·苏晋）　　押陌韵	主人病且闲，客来情弥适。一酌复一笑，不知日将夕。昨来属欢游，于今尽成昔。努力持所趣，空名定何益。
