失题二首 其一（唐·唐备）　　五言绝句　押皓韵	天若无雪霜，青松不如草。地若无山川，何人重平道。
失题二首 其二（唐·唐备）	一日天无风，四溟波尽息。人心风不吹，波浪高百尺。
道傍木（唐·唐备）　　押遇韵	狂风拔倒树，树倒根已露。上有数枝藤，青青犹未悟。
