元宗钓鱼无获进诗（唐·李家明）　　七言绝句　押冬韵	玉甃垂钩兴正浓，碧池春暖水溶溶。凡鳞不敢吞香饵，知是君王合钓龙。
咏卧牛（唐·李家明）　　七言绝句　押真韵	曾遭宁戚鞭敲角，又被田单火燎身。闲向斜阳嚼枯草，近来问喘为无人。
题纸鸢止宋齐丘哭子（唐·李家明）　　七言绝句	安排唐祚革强吴，尽是先生作计谟。一个孩儿𢬵不得，让皇百口合何如①。
咏皖公山（唐·李家明）　　七言绝句　押东韵	龙舟轻飐锦帆风，正值宸游望远空。回首皖公山色翠，影斜不到寿杯中。
