春日雪以回文绝句呈张荐权德舆（唐·潘孟阳）　　五言绝句　押灰韵	春梅杂落雪，发树几花开。真须尽兴饮，仁里愿同来。
元日和布泽（唐·潘孟阳）　　五言排律　押元韵	至德生成泰，咸欢照育恩。流辉沾万物，布泽在三元。北阕祥云迥，东方嘉气繁。青阳初应律，苍玉正临轩。恩洽因时令，风和比化原。自惭同草木，无以荅乾坤。
和权载之离合诗（唐·潘孟阳）	咏歌有离合，永夜观酬荅。笥中操綵笺，竹简何足编。意深俱妙绝，心契交情结。计彼官接联，言初并清切。翔集本相随，羽仪良在斯。烟云竞文藻，因喜玩新诗。
