清溪泛舟（唐·张旭）　　五言绝句　押歌韵	旅人倚征棹，薄暮起劳歌。笑揽清溪月，清辉不厌多。
晚过水北（唐·张旭）　　五言绝句　押尤韵	寒川消积雪，冻浦渐通流。日暮人归尽，沙禽上钓舟。
见远亭（唐·张旭）　　五言绝句　押删韵	高亭□可望，朝暮对溪山。野色轩楹外，霞光几席间。
杂咏（唐·张旭）　　五言绝句　押尤韵	既作湖阴客，如何更远游？章江昨夜雨，送我过扬州。
三桥（唐·张旭）　　五言绝句　押药韵	北临白云涧，南望清风阁。出树见行人，隔溪有鱼跃。
桃花溪（唐·张旭）　　七言绝句　押先韵	隐隐飞桥隔野烟，石矶西畔问渔船。桃花尽日随流水，洞在清溪何处边。
山行留客（唐·张旭）　　七言绝句　押微韵	山光物态弄春辉，莫为轻阴便拟归。纵使晴明无雨色，入云深处亦沾衣。
春游值雨（唐·张旭）　　七言绝句　押元韵	欲寻轩槛列清尊，江上烟云向晚昏。须倩东风吹散雨，明朝却待入华园。
春草（唐·张旭）　　七言绝句　押鱼韵	春草青青万里馀，边城落日见离居。情知海上三年别，不寄云间一纸书。
山行留客（唐·张旭）　　七言绝句　押微韵	山光物态弄春晖，莫为轻阴便儗归。级使晴明无雨色，入工深处亦沾衣。
杨柳枝（唐·张旭）	濯濯烟条拂地垂，城边楼畔结春思。请君细看风流意，未减灵和殿里时。
