从军（唐·马逢）　　七言绝句　押文韵	汉马千蹄合一群，单于鼓角隔山闻。沙堆风起红楼下，飞上胡天作阵云。
宫词二首 其一（唐·马逢）　　七言绝句　押盐韵	金吾持戟护轩檐，天乐传教万姓瞻。楼上美人相倚看，红妆透出水晶帘。
长句赠微之（题拟）（唐·马逢）　　押寒韵	灵溪试为访金丹。
新乐府（唐·马逢）　　押庚韵	温谷春生至，宸游近甸荣。云随天上转，风入御筵轻。翠盖浮佳气，朱楼依太清。朝臣冠剑退，宫女管弦迎。
