王仙坛（时年五岁）（唐·林杰）　　七言绝句　押寒韵	羽客已登仙①路去，丹炉②草木尽凋残。不知千载③归何日，空使时人扫旧坛。
乞巧（唐·林杰）　　七言绝句　押萧韵	七夕今宵看碧霄，牵牛织女渡河桥。家家乞巧望秋月，穿尽红丝几万条。
句（唐·林杰）　　押阳韵	金盘摘下挂朱颗，红壳开时饮玉浆①。
