别慧山书堂（唐·湛贲）　　七言绝句　押江韵	捲帘晓望云平槛，下榻宵吟月半窗。病守未能依结社，更施何术去为邦。
题历山司徒右长史祖宅（唐·湛贲）　　五言排律　押萧韵	隳官长史籍，高步历山椒。丽句传黄绢，香名播宋朝。分能知止足，迹贵出尘嚣。松竹心长固，池台兴自饶。龙宫欣访旧，莺谷忝迁乔。从事叨承乏，铜章愧在腰。
伏览吕侍郎（渭）丘员外（丹）旧题十三代祖历山草堂诗因书记事（唐·湛贲）	名遂贵知己，道胜方晦迹。高居葺莲宫，遗文焕石壁。桑田代已变，池草春犹碧。识曲遇周郎，知音荷宗伯。调逸南平兆，风清建安迹。祖德今发扬，还同书史册。
