喜韩少府见访（唐·胡令能）　　七言绝句　押阳韵	忽闻梅福来相访，笑著荷衣出草堂。儿童不惯见车马，走入芦花深处藏。
观郑州崔郎中诸妓绣样（唐·胡令能）　　七言绝句　押萧韵	日暮堂前花蕊娇，争拈小笔上床描。绣成安向春园里，引得黄莺下柳条。
小儿垂钓（唐·胡令能）　　七言绝句　押真韵	蓬头稚子学垂纶，侧坐莓苔草映身。路人借问遥招手，怕得鱼惊不应人。
王昭君（唐·胡令能）　　七言绝句　押阳韵	胡风似剑锼人骨，汉月如钩钓胃肠。魂梦不知身在路，夜来犹自到昭阳。
