重门曲（唐末宋初·周濆）　　七言绝句　押元韵	憔悴容华怯对春，寂寥宫殿锁闲门。此身却羡宫中树，不失芳时雨露恩。
山下水（唐末宋初·周濆）　　七言绝句　押寒韵	背云冲石出深山，浅碧泠泠一带寒。不独有声流出此，会归沧海助波澜。
逢邻女（唐末宋初·周濆）　　七言绝句　押冬韵	日高邻女笑相逢，慢束罗裙半露胸。莫向秋池照绿水，参差羞杀白芙蓉。
废宅（唐末宋初·周濆）　　七言绝句　押真韵	牢落画堂空锁尘，荒凉庭树暗消春。豪家莫笑此中事，曾见此中人笑人。
