赠广陵妓（唐·张又新）　　七言绝句　押先韵	云雨分飞二十年，当时求梦不曾眠。今来头白重相见，还上襄王玳瑁筵。
牡丹（唐·张又新）　　七言绝句　押侵韵	牡丹一朵值千金，将谓从来色最深。今日满栏开似雪，一生辜负看花心。
永嘉百咏 白鹤山（唐·张又新）　　七言绝句　押真韵	白鹤山边秋复春，文君宅畔少风尘。欲驱五马寻真隐，谁是当年入竹人？
行田诗（唐·张又新）　　七言绝句　押真韵	白石岩前湖水春，湖边旧境有清尘。欲追谢守行田意，今古同忧是长人。
罗浮山（唐·张又新）　　七言绝句　押冬韵	江北重峦积翠浓，绮霞遥映碧芙蓉。不知末后沧溟上，灭却瀛洲第几峰。
青障山（唐·张又新）　　七言绝句　押萧韵	一派远光澄碧月，万株耸翠猎金飙。陶仙谩学长生术，暑往寒来更寂寥。
中界山（唐·张又新）　　七言绝句　押尤韵	瑟瑟峰头玉水流，晋时遗迹更堪愁。愁人到此劳长望，何处烟波是祖州。
帆游山（唐·张又新）　　七言绝句　押尤韵	涨海尝从此地流，千帆飞过碧山头。君看深谷为陵后，翻覆人间未肯休。
谢池（唐·张又新）　　七言绝句　押删韵	郡郭东南积谷山，谢公曾是此跻攀。今来惟有灵池月，犹是婵娟一水间。
华盖山（唐·张又新）　　七言绝句　押麻韵	一岫坡陀凝绿草，千重虚翠透红霞。愁来始上消归思，见尽江城数百家。
青㠗山（唐·张又新）　　七言绝句　押东韵	灵海泓澄匝翠峰，昔贤心赏已成空。今朝亭馆无遗制，积水沧浪一望中。
孤屿（唐·张又新）　　七言绝句　押江韵	碧水逶迤浮翠巘，绿萝蒙密媚晴江。不知谁与名孤屿，其实中川是一双。
春草池（唐·张又新）　　七言绝句　押微韵	谢公梦草一差微，谪宦当时道不机。且谓飞霞游赏地，池塘烟柳亦依依。
永嘉百咏（唐·张又新）　　七言绝句　押麻韵	滴水泠泠彻碧纱，旱时无减雨无加。澄清好是为官侣，引入孤城一带斜。
永嘉百咏 大罗山（唐·张又新）　　七言绝句　押先韵	越王曾保此山巅，杨仆楼船几控弦。犹有旧时悬冰在，鲛绡千尺玉潺湲。
永嘉百咏 百里芳（唐·张又新）　　七言绝句　押灰韵	时清游骑南徂暑，正值荷花百里开。民喜出行迎五马，全家知是使君来。
永嘉百咏 郭公山（唐·张又新）　　七言绝句　押尤韵	昔贤登步立神州，气象千年始一浮。南望群州如列宿，北观江水似龙虬。
郡斋三月下旬作（唐·张又新）　　押侵韵	春事日已歇，池塘旷幽寻。残红披独坠，初绿间浅深。偃仰倦芳褥，顾步爱新阴。谋春未及竟，夏初遽见侵。
五月水边柳（唐·张又新）　　押铣韵	结根挺涯涘，垂影覆清浅。睡脸寒未开，懒腰晴更软。摇空条已重，拂水带方展。似醉烟景凝，如愁月露泫。丝长鱼误恐，枝弱禽惊践。怅别几多情，含春任攀搴。
吹台山（唐·张又新）	吹台山上綵烟凝，日落云收叠翠屏。应谓焦桐堪采斲，不知谁是柳吴兴。
