五岁咏花（唐·知玄）　　五言绝句　押东韵	花开满树红，花落万枝空。唯馀一孕在，明日定随风。
祝尧诗（唐·知玄）　　七言绝句　押先韵	生天本自生天业，未必求仙便得仙。鹤背倾危龙背滑，君王且住一千年。
荅僧澈（唐·知玄）　　七言排律　押鱼韵	观君法苑思冲虚，使我真乘刃有馀。若使龙光时可待，应怜僧肇论成初。五车外典知谁敌，九趣多才恐不如。萧寺讲轩横淡荡，帝乡云树正扶疏。几生曾得阇瑜意，今日堪将贝叶书。一振微言冠千古，何人执卷问吾庐。
