与李章武赠荅诗 其三（唐·王氏妇）　　五言绝句	河汉已倾斜，神魂欲超越。愿郎更回抱，终天从此诀①。
李助为章武赋（唐·王氏妇）　　五言绝句　押阳韵	石沈辽海阔，剑别楚天长。会合知无日，离心满夕阳。
与李章武赠荅诗 其七（唐·王氏妇）　　七言绝句　押先韵	水不西归月暂圆，令人惆怅古城边。萧条明早分岐路，知更相逢何岁年①。
与李章武赠荅诗（唐·王氏妇）　　押支韵	鸳鸯绮，知结几千丝。别后寻交颈，应伤未别时①。
