随驾游青城（唐·李舜弦）　　七言绝句　押删韵	因随八马上仙山，顿隔尘埃物象闲。只恐西追王母宴，却忧难得到人间。
蜀宫应制（唐·李舜弦）　　七言绝句　押青韵	浓树禁花开后庭，饮筵中散酒微醒。濛濛雨草瑶阶湿，钟晓愁吟独倚屏。
钓鱼不得（唐·李舜弦）　　七言绝句　押元韵	尽日池边钓锦鳞，芰荷香里暗消魂。依稀纵有寻香饵，知是金钩不肯吞。
