子夜四时歌 春歌（南北朝·王金珠）　　押沃韵	吹漏不可停，断弦当更续。俱作双思引，共奏同心曲①。
上声歌（南北朝·王金珠）　　押庚韵	花色过桃杏，名称重金琼。名歌非下里，含笑作上声①。
阿子歌（南北朝·王金珠）　　押尤韵	可怜双飞凫，飞集野田头。饥食野田草，渴饮清河流①。
