白鼻騧（南北朝·温子升）　　押虞韵	少年多好事，揽辔向西都。相逢狭斜路，驻马诣当垆①。
结袜子（南北朝·温子升）　　押鱼韵	谁能访故剑，会自逐前鱼。裁纫终委箧，织素空有馀①。
安定侯曲（南北朝·温子升）　　押歌韵	封疆在上地，钟鼓自相和。美人当窗舞，妖姬掩扇歌①。
炖煌乐（南北朝·温子升）　　押啸韵	客从远方来，相随歌且笑。自有炖煌乐，不减安陵调①。
凉州乐歌二首（南北朝·温子升）　　押庚韵	远游武威郡，遥望姑臧城。车马相交错，歌吹日纵横①。
捣衣诗（南北朝·温子升）　　押阳韵	长安城中秋夜长。佳人锦石捣流黄。香杵纹砧知近远。传声递响何凄凉。七夕长河烂。中秋明月光。蠮螉塞边绝候雁。鸳鸯楼上望天狼①。
从驾幸金墉城诗（南北朝·温子升）　　押梗韵	兹城实佳丽，飞甍自相并。胶葛拥行风，岧峣閟流景。御沟属清洛，驰道通丹屏。湛淡水成文，参差树交影。长门久已闭，离宫一何静。细草缘玉阶，高枝荫桐井。微微夕渚暗，肃肃暮风冷。神行扬翠旗，天临肃清警。伊臣从下列，逢恩信多幸。康衢虽已泰，弱力将安骋①。
春日临池诗（南北朝·温子升）　　押侵韵	光风动春树，丹霞起暮阴。嵯峨映连璧，飘飖下散金。徒自临濠渚，空复抚鸣琴。莫知流水曲，谁辩游鱼心①。
咏花蝶诗（南北朝·温子升）　　押翰韵	素蝶向林飞，红花逐风散。花蝶俱不息，红素还相乱。芬芬共袭予，葳蕤从可玩。不慰行客心，遽动离居叹①。
相国清河王挽歌（南北朝·温子升）　　押歌韵	高门讵改辙，曲沼尚馀波。何言吹楼下，翻成薤露歌①。
