王昭君叹二首（南北朝·沈满愿）　　押支韵	早信丹青巧，重货洛阳师。千金买蝉鬓，百万写蛾眉①。
挟琴歌（南北朝·沈满愿）　　押庚韵	逶迤起尘唱，宛转绕梁声。调弦可以进，蛾眉画未成①。
映水曲（南北朝·沈满愿）　　押月韵	轻鬓学浮云，双蛾拟初月。水澄正落钗，萍开理垂发①。
登栖曲（南北朝·沈满愿）　　押歌韵	凭高川陆近，望远阡陌多。相思隔重岭，相忆限长河①。
越城曲（南北朝·沈满愿）　　押微韵	别怨凄歌响，离啼湿舞衣。愿假乌栖曲，翻从南向飞①。
晨风行（南北朝·沈满愿）	理楫令舟人。停舻息旅薄河津。念君劬劳冒风尘。临路挥袂泪沾巾。飙流劲润逝若飞。山高帆急绝音徽。留子句句独言归。中心茕茕将依谁。风弥叶落永难索。神往形返情错漠。循带易缓愁难却。心之忧矣颇销铄①。
戏萧娘诗（南北朝·沈满愿）	明珠翠羽帐，金蒲绿绡帷。因风时暂举，想像见芳姿。清晨插步摇，向晚解罗衣。托意风流子，佳情讵可私①。
咏灯诗（南北朝·沈满愿）　　押微韵	绮筵日已暮，罗帷月未归。开花散鹄彩，含光出九微。风轩动丹焰，冰宇澹青辉。不吝轻蛾绕，惟恐晓蝇飞①。
咏五彩竹火笼诗（南北朝·沈满愿）　　押文韵	可怜润霜质，纤剖复毫分。织作回风苣，制为萦绮文。含芳出珠被，耀彩接缃裙。徒嗟今丽饰，岂念昔凌云①。
咏步摇花诗（南北朝·沈满愿）　　押庚韵	珠华萦翡翠，实叶间金琼。剪葆不似制，为花如自生。低枝拂绣领，微步动瑶瑛。但令云髻插，蛾眉本易成①。
