游后园（南北朝·萧子良）　　押泰韵	托性本禽鱼，栖情闲物外。萝径转连绵，松轩方杳蔼。丘壑每淹留，风云多赏会①。
行宅诗（南北朝·萧子良）　　押泰韵	访宇北山阿，卜居西野外。幼赏悦禽鱼，早性羡蓬艾①。
登山望雷居士精舍同沈右卫过刘先生墓下作诗（南北朝·萧子良）	汉陵淹馆芜，晋殄洙风缺。五都声论空，三河文义绝。兴礼迈前英，谈玄逾往哲。明情日夜深，徽音岁时灭。垣井总已平，烟云从容裔。尔叹牛山悲，我悼惊川逝①。
后湖放生诗（南北朝·萧子良）	释焚曾林下，解细平湖边。迅翮抟清汉，轻鳞浮紫涧①。
九日侍宴诗（南北朝·萧子良）　　押寒韵	月展风转，层台气寒。高云敛色，遥露已团。式诏司警，言戾秋峦。轻觞时荐，落英可餐①。
侍皇太子释奠宴诗（南北朝·萧子良）　　押文韵	霜轻流日，风送夕云。雕檐结彩，绮井生文。四琏合旨，八簋舒芬①。
