咏木槿树题武进文明府厅（唐·刘庭琦）　　五言绝句　押支韵	物情良可见，人事不胜悲。莫恃朝荣好，君看暮落时。
铜雀台（唐·刘庭琦）　　七言绝句　押真韵	铜台宫观委灰尘，魏主园林漳水滨。即今西望犹堪思，况复当时歌舞人。
从军（唐·刘庭琦）　　押纸韵	朔风吹寒塞，胡沙千万里。阵云出岱山，孤月生海水。决胜方求敌，衔恩本轻死。萧萧牧马鸣，中夜拔剑起。
奉和圣制瑞雪篇（唐·刘庭琦）	紫宸飞雪晓裴回，层阁重门雪照开。九衢皛耀浮埃尽，千品差池贽帛来。何处田中非种玉，谁家院里不生梅？埋云翳景无穷已，因风落地吹还起。先过翡翠宝房中，转入鸳鸯金殿里。美人含笑出联翩，艳逸相轻斗容止。罗衣点著浑是花，玉手抟来半成水。奕奕纷纷何所如，顿忆杨园二月初。羞同班女高秋扇，欲照明王乙夜书。姑射山中符圣寿，芙蓉阙下降神车。愿随睿泽流无限，长报丰年贵有馀。
