临邛怨（唐·李馀）　　七言绝句　押文韵	藕花衫子柳花裙，多著沈香慢火熏。惆怅妆成君不见，空教绿绮伴文君。
寒食（唐·李馀）　　七言绝句　押支韵	玉轮江上雨丝丝，公子游春醉不知。剪渡归来风正急，水溅鞍帕嫩鹅儿①。
句（唐·李馀）	长安东门别，立马生白发。霁后轩盖繁，南山瑞烟发。尝忧车马繁，土薄闻水声①。
