叙怀（唐·徐月英）　　七言绝句	为失三从泣泪频，此身何用处人伦。虽然日逐笙歌乐，长羡荆钗与布裙。
送人（唐·徐月英）　　七言绝句　押微韵	惆怅人间万事违，两人同去一人归。生憎平望亭前水，忍照鸳鸯相背①飞。
句（唐·徐月英）　　押庚韵	枕前泪与阶前雨，隔个窗儿滴到明。
