游枋口（并序） 石笋高（唐·郑辕）	竦干青山下，卓立白云际。濯似春筠茎，奇如夏峰势。赏者空往来，亭亭几千里。
游枋口（并序） 蒙泉（唐·郑辕）　　押纸韵	丹洞吐细泉，宛转苍苔里。凝碧时含光，流泄复如此。谁知山下泉，来洗幽人耳。
游枋口（并序） 薜荔壁（唐·郑辕）	薜荔生空山，幽姿媚苔壁。根封石燕泥，花似乳窦滴。灵均没已久，荣落谁人惜。
