题牡丹（唐·捧剑仆）　　七言绝句　押庚韵	一种芳菲出后庭，却输桃李得佳名。谁能为向天人说，从此移根近太清。
诗（唐·捧剑仆）　　押寒韵	青鸟衔葡萄，飞上金井栏。美人恐惊去，不敢捲帘看。
将窜留诗（唐·捧剑仆）	珍重郭四郎，临行不得别。晓漏动离心，轻车冒残雪。欲出主人门，零涕暗呜咽。万里隔关山，一心思汉月。
