闺怨二首（唐·沈如筠）　　五言绝句　押庚韵	雁尽书难寄，愁多梦不成。愿随孤月影，流照伏波营。
寄张徵古（唐·沈如筠）　　押陌韵	寂历远山意，微冥半空碧。绿萝无冬春，彩云竟朝夕。张子海内奇，久①为岩中客。圣君当②梦想，安得老松石。
寄天台司马道士（唐·沈如筠）　　押霰韵	河洲花艳爚，庭树光彩茜。白云天台山，可思不可见。
句（唐·沈如筠）	思酸寒雁断，淅沥秋树空。渔阳燕旧都，美女花不如①。
