比红儿诗（唐·罗虬）　　押先韵	姓字看侵尺五天，芳菲①占断百花鲜。马嵬好笑当时事，虚赚明皇幸蜀川。
过友人故居（唐·罗虬）　　押麻韵	堤草袅空垂露眼，渚浦穿浪凑烟芽。晴楼谈罢山横黛，夜局棋酣烛坠花。
句（唐·罗虬）　　押东韵	窗前远岫悬生碧，帘外残霞挂熟红①。
句（唐·罗虬）	雪中放马朝寻迹，云外闻鸿夜射声（《和扶风老人诗》）。龙鳞柳弱垂朝露，麈尾松高挥夜风（《五华宫》）。猿隔乱云啼暮岭，雁和微雨下寒湖（《江行》）。夜渡酒酣千顷月，昼楼棋罢一窗山（《郊卧》）。
